convocatoria_numero,nombre_documento,tipo_documento,numero_anexo,subtipo_anexo,tipo_actividad,formato,url,ruta_local,estado,bytes,error
977.0,"Paso a paso para que la revista sea considerada en la Convocatoria No. 977, Publindex 2026",otro,,,Apertura,pdf,https://minciencias.gov.co/sites/default/files/upload/convocatoria/paso_a_paso_proceso_de_inscricpcion_publindex_2026.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_977\paso_a_paso_proceso_de_inscricpcion_publindex_2026.pdf,ok,226948,
977.0,Paso a paso para restablecer la contraseña en el aplicativo Publindex,otro,,,Apertura,pdf,https://minciencias.gov.co/sites/default/files/upload/convocatoria/paso_a_paso_para_recuperar_la_contrasena_publindex_2026.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_977\paso_a_paso_para_recuperar_la_contrasena_publindex_2026.pdf,ok,176473,
977.0,Paso a paso aval y revisión de criterios fase 1,otro,,,Apertura,pdf,https://minciencias.gov.co/sites/default/files/upload/convocatoria/paso_a_paso_aval_y_revision_de_criterios_fase_1.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_977\paso_a_paso_aval_y_revision_de_criterios_fase_1.pdf,ok,334523,
976.0,Anexo 1: Carta unificada de aval y compromiso institucional,anexo,1.0,aval_institucional,Apertura,pdf,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_1._carta_unificada_de_aval_y_compromiso_institucional_3.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_976\anexo_1._carta_unificada_de_aval_y_compromiso_institucional_3.pdf,omitido_existe,160351,
976.0,Anexo 1: Carta unificada de aval y compromiso institucional,anexo,1.0,aval_institucional,Apertura,editable,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_1._carta_unificada_de_aval_y_compromiso_institucional_editable.doc,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_976\anexo_1._carta_unificada_de_aval_y_compromiso_institucional_editable.doc,omitido_existe,549888,
976.0,Anexo 2: Carta de experiencia de la empresa nacional.,anexo,2.0,alianzas,Apertura,pdf,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_2._carta_de_experiencia_de_la_empresa_nacional_1.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_976\anexo_2._carta_de_experiencia_de_la_empresa_nacional_1.pdf,omitido_existe,79495,
976.0,Anexo 2: Carta de experiencia de la empresa nacional.,anexo,2.0,alianzas,Apertura,editable,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_2._carta_de_experiencia_de_la_empresa_nacional_editable.docx,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_976\anexo_2._carta_de_experiencia_de_la_empresa_nacional_editable.docx,omitido_existe,744948,
976.0,Anexo 3: Hoja de vida investigador principal.,anexo,3.0,talento_hv,Apertura,pdf,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_3._hoja_de_vida_investigador_principal_0.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_976\anexo_3._hoja_de_vida_investigador_principal_0.pdf,omitido_existe,82812,
976.0,Anexo 3: Hoja de vida investigador principal.,anexo,3.0,talento_hv,Apertura,editable,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_3._hoja_de_vida_investigador_principal_editable.docx,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_976\anexo_3._hoja_de_vida_investigador_principal_editable.docx,omitido_existe,7515681,
976.0,Anexo 4. Vinculación de jóvenes investigadores e innovadores.,anexo,4.0,talento_hv,Apertura,pdf,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_4._vinculacion_de_jovenes_investigadores_e_innovadores__0.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_976\anexo_4._vinculacion_de_jovenes_investigadores_e_innovadores__0.pdf,omitido_existe,108923,
