convocatoria_numero,tipo_actividad,nombre_documento,tipo_documento,numero_anexo,subtipo_anexo,url_pdf,url_editable
47,Apertura,Comunicado de prensa Convocatoria No. 47,comunicado,,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/comunicado_de_prensa_convocatoria_no_.47.pdf,
47,Modificaciones,MODIFICACION 1 CONVOCATORIA No. 47,modificacion,,,https://minciencias.gov.co/sites/default/files/modificacion_1_convocatoria_47_publicar.pdf,
47,Modificaciones,COMUNICADO: TRASLADO PUBLICACION RESULTADOS DE EVALUACION CONV 47,comunicado,,,https://minciencias.gov.co/sites/default/files/comunicado_traslado_publicacion_conv_47_0.pdf,
47,Publicación de resultados preliminares,LISTADO DE PROYECTOS HABILITADOS,resultado,,,https://minciencias.gov.co/sites/default/files/convocatoria/listado_de_proyectos_habilitados_1.pdf,
47,Publicación de resultados preliminares,LISTADO FINAL DE PROYECTOS HABILITADOS,resultado,,,https://minciencias.gov.co/sites/default/files/convocatoria/listado_final_de_proyectos_habilitados_2.pdf,
47,Publicación de resultados preliminares,OBSERVACIONES Y RESPUESTAS LISTADO PROYECTOS HABILITADOS,resultado,,,https://minciencias.gov.co/sites/default/files/convocatoria/observaciones_y_respuestas_listado_proyectos_habilitados.pdf,
47,Publicación de resultados preliminares,ALCANCE-LISTADO FINAL DE PROYECTOS HABILITADOS,resultado,,,https://minciencias.gov.co/sites/default/files/convocatoria/alcance_-_listado_final_de_proyectos_habilitados_conv_47_-2026.pdf,
974,Apertura,Resolución 0074-2026,resolucion,,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/resolucion_0074-2026_0.pdf,
974,Apertura,Términos de Referencia Convocatoria de “BECAS PARA EL CAMBIO” formación en maestrías y doctorados Región Pacífico,terminos_referencia,,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/terminos_de_referencia_convocatoria_de_becas_para_el_cambio_formacion_en_maestrias_y_doctorados_region_pacifico_0.pdf,
974,Apertura,"Anexo 1_ Carta de compromiso, conocimiento y aceptación del_la candidato(a) (editable).",anexo,1,otro,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_1_carta_de_compromiso_conocimiento_y_aceptacion_del_la_candidatoa.pdf,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_1_carta_de_compromiso_conocimiento_y_aceptacion_del_la_candidatoa_editable.docx
974,Apertura,Anexo 2_ Propuesta de Investigación_Desarrollo Tecnológico y_o Innovación (editable).,anexo,2,otro,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_2_propuesta_de_investigacion_desarrollo_tecnologico_y_o_innovacion.pdf,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_2_propuesta_de_investigacion_desarrollo_tecnologico_y_o_innovacion_editable.docx
974,Apertura,Anexo 3_ Hoja de Vida del_la candidato(a) (editable).,anexo,3,talento_hv,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_3_hoja_de_vida_del_la_candidatoa.pdf,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_3_hoja_de_vida_del_la_candidatoa_editable.docx
974,Apertura,Anexo 4_ Áreas OCDE,anexo,4,otro,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_4_areas_ocde.pdf,
974,Modificaciones,Adenda No. 1 - convocatoria 974,modificacion,,,https://minciencias.gov.co/sites/default/files/adenda_1_convocatoria_974_de_2026_2.pdf,
974,Modificaciones,Adenda No. 2 - convocatoria 974,modificacion,,,https://minciencias.gov.co/sites/default/files/adenda_2_convocatoria_974_de_2026.pdf,
974,Modificaciones,Fe de erratas Adenda No. 2 convocatoria 974-2026,modificacion,,,https://minciencias.gov.co/sites/default/files/fe_de_erratas_adenda_no._2_convocatoria_974-2026_1.pdf,
974,Publicación de resultados preliminares,Banco Preliminar de Propuestas Elegibles de la Convocatoria 974 de 2026,otro,,,https://minciencias.gov.co/sites/default/files/banco_preliminar_de_propuestas_elegibles_de_la_convocatoria_974_de_2026.pdf,
974,Publicación de resultados definitivos,Banco Definitivo de Propuestas Elegibles de la Convocatoria 974 de 2026,otro,,,https://minciencias.gov.co/sites/default/files/banco_definitivo_de_propuestas_elegibles_de_la_convocatoria_974_de_2026_1.pdf,
974,Publicación de resultados definitivos,Resolución 0590-2026,resolucion,,,https://minciencias.gov.co/sites/default/files/resolucion_0590-2026.pdf,
51,Apertura,TdR Convocatoria 51 del SGR,otro,,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/tdr_convocatoria_51_del_sgr.pdf,
51,Apertura,"Anexo 1. Carta unificada de aval, compromiso institucional y modelo de gobernanza.",anexo,1,aval_institucional,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_1._carta_unificada_de_aval_compromiso_institucional_y_modelo_de_gobernanza_0.docx
51,Apertura,Anexo 2. Documento técnico.,anexo,2,tecnico,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_2._documento_tecnico_9.docx
51,Apertura,Anexo 3. Presupuesto.,anexo,3,finanzas,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_3._presupuesto_13.xlsx
51,Apertura,Anexo 4. Demandas Territoriales.,anexo,4,poblacion_especifica,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_4._demandas_territoriales.docx
51,Apertura,"Anexo 5. Proyecto de Ciencia, Tecnología e Innovación.",anexo,5,otro,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_5._proyectos_de_ciencia_tecnologia_e_innovacion_gestionados_ejecutados_o_en_ejecucion_por_el_proponente_y_de_los_aliados.pdf,
51,Apertura,Anexo 6. Procedimiento del Rol Formulador.,anexo,6,procedimental,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_6._definiciones_de_las_convocatorias_de_ctei_del_sgr_9.pdf,
51,Apertura,Anexo 7. Marco normativo de la Asignación CTeI del Sistema General de Regalías.,anexo,7,otro,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_7._marco_normativo_de_la_asignacion_para_ctei_del_sgr_0.pdf,
51,Apertura,Anexo 8. Procedimiento para llevar a cabo la actividad “solicitud creación de rol formulador CTeI”.,anexo,8,procedimental,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_8._procedimiento_rol_formulador.pdf,
51,Apertura,Anexo 9. Lineamientos para integrar el enfoque de apropiación social del conocimiento.,anexo,9,apropiacion_social,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_9._lineamientos_para_integrar_el_enfoque_de_apropiacion_social_del_conocimiento.pdf,
51,Apertura,Anexo 10. orientaciones generales para la vinculación del talento humano,anexo,10,otro,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_10._orientaciones_generales_para_la_vinculacion_del_talento_humano.pdf,
51,Apertura,Anexo 11. Enfoque Diferencial e Interseccional.,anexo,11,poblacion_especifica,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_11._enfoque_diferencial_e_interseccional.pdf,
51,Apertura,Anexo 12. Niveles de Madurez Tecnológica.,anexo,12,tecnico,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_12._niveles_de_madurez_tecnologica.pdf,
51,Apertura,Anexo 13. Instructivo para generar MGA-WEB en borrador.,anexo,13,procedimental,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_13._instructivo_para_generar_mga-web_final.pdf,
51,Modificaciones,MODIFICACIÓN 1 CONVOCATORIA No. 51,modificacion,,,https://minciencias.gov.co/sites/default/files/modificacion_1_convocatoria_51.pdf,
51,Publicación de resultados preliminares,PUBLICACIÓN DEL LISTADO PRELIMINAR PROYECTOS HABILITADOS,resultado,,,https://minciencias.gov.co/sites/default/files/convocatoria/listado_preliminar_de_proyectos_habilitados.pdf,
51,Publicación de resultados preliminares,PUBLICACIÓN DEL LISTADO FINAL PROYECTOS HABILITADOS,resultado,,,https://minciencias.gov.co/sites/default/files/convocatoria/listado_final_de_proyectos_habilitados_51.pdf,
45,Apertura,TdR Convocatoria 45 del SGR,otro,,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/tdr_convocatoria_45_26dic_publicar.pdf,
45,Apertura,"Anexo 1. Carta unificada de aval, compromiso institucional y modelo de gobernanza.",anexo,1,aval_institucional,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_1._carta_unificada_de_aval_compromiso_institucional_y_modelo_de_gobernanza_1.docx
45,Apertura,Anexo 2. Documento técnico.,anexo,2,tecnico,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_2._documento_tecnico_11.docx
45,Apertura,Anexo 3. Presupuesto.,anexo,3,finanzas,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_3._presupuesto_15.xlsx
45,Apertura,Anexo 4. Demandas Territoriales.,anexo,4,poblacion_especifica,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_4._demandas_territoriales_2025_2026.xlsx
45,Apertura,Anexo 5. Instructivo para generar MGA-WEB en borrador.,anexo,5,procedimental,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_5._instructivo_para_generar_mga-web_en_borrador.pdf,
45,Apertura,Anexo 6. Áreas OCDE.,anexo,6,otro,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_6._areas_ocde.pdf,
45,Apertura,Anexo 7. Marco normativo de la Asignación CTeI del Sistema General de Regalías.,anexo,7,otro,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_7._marco_normativo_de_la_actei_del_sgr.pdf,
45,Apertura,Anexo 8. Enfoque diferencial e interseccional.,anexo,8,poblacion_especifica,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_8._enfoque_diferencial_e_interseccional.pdf,
45,Apertura,Anexo 9. Procedimiento para llevar a cabo la actividad “Solicitud creación de Rol Formulador CTeI”.,anexo,9,procedimental,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_9._procedimiento_rol_formulador_1.pdf,
45,Apertura,Anexo 10. Categorización IDIC.,anexo,10,tecnico,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_10._categorizacion_idic.docx
45,Apertura,Respuestas Observaciones Convocatoria No. 45,otro,,,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/respuesta_observaciones_convocatoria_45_sgr_0.xlsx
45,Apertura,COMUNICADO CONVOCATORIA 45,comunicado,,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/comunicado_convocatoria_45.pdf,
45,Modificaciones,MODIFICACIÓN 1 CONVOCATORIA No. 45,modificacion,,,https://minciencias.gov.co/sites/default/files/modificacion_1_convocatoria_no._45.pdf,
45,Modificaciones,MODIFICACIÓN 2 CONVOCATORIA No. 45,modificacion,,,https://minciencias.gov.co/sites/default/files/modificacion_no._2_convocatoria_45.pdf,
45,Publicación de resultados preliminares,LISTADO PRELIMINAR PROYECTOS HABILITADOS,resultado,,,https://minciencias.gov.co/sites/default/files/convocatoria/listado_preliminar_proyectos_habilitados.pdf,
45,Publicación de resultados preliminares,LISTADO FINAL PROYECTOS HABILITADO,resultado,,,https://minciencias.gov.co/sites/default/files/convocatoria/publicacion_listado_final_proyectos_habilitados.pdf,
45,Publicación de resultados preliminares,RESPUESTA A SOLICITUDES DE OBSERVACIÓNES,otro,,,https://minciencias.gov.co/sites/default/files/convocatoria/respuesta_a_solicitudes_de_observaciones.pdf,
45,Publicación de resultados preliminares,ALCANCE - LISTADO FINAL PROYECTOS HABILITADOS,resultado,,,https://minciencias.gov.co/sites/default/files/convocatoria/alcance_-_publicacion_listado_final_proyectos_habilitados_0.pdf,
45,Publicación de resultados preliminares,PUBLICACIÓN DE RESULTADOS DE EVALUACIÓN,otro,,,https://minciencias.gov.co/sites/default/files/convocatoria/publicacion_de_resultados_de_evaluacion.pdf,
45,Publicación de resultados preliminares,Alcance Listado preliminar de elegible Convocatoria 45,resultado,,,https://minciencias.gov.co/sites/default/files/convocatoria/alcance_listado_preliminar_de_elegible_convocatoria_45.pdf,
45,Publicación de resultados definitivos,LISTADO DEFINTIVO DE PROYECTOS ELEGIBLES,resultado,,,https://minciencias.gov.co/sites/default/files/listado_defintivo_de_proyectos_elegibles.pdf,
45,Publicación de resultados definitivos,Alcance: LISTADO DEFINITIVO DE PROYECTOS ELEGIBLES – Convocatoria 45,resultado,,,https://minciencias.gov.co/sites/default/files/alcance_listado_definitivo_de_proyectos_elegibles_-_convocatoria_45.pdf,
973,Apertura,Resolución 1473 de 2025,resolucion,,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/resolucion_1473-2025.pdf,
973,Apertura,Términos de Referencia Convocatoria formación de capital humano docentes establecimientos educativos oficiales de Cundinamarca,terminos_referencia,,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/terminos_de_referencia_v.5_convocatoria_cundinamarca_vtobo_dvf_fdo.pdf,
973,Apertura,Anexo 1. Certificación emitida por la secretaría de educación departamental o municipal.,anexo,1,otro,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_1._certificacion_emitida_por_la_secretaria_de_educacion_departamental_o_municipal.pdf,
973,Apertura,Anexo 2. Carta aval del establecimiento educativo oficial,anexo,2,aval_institucional,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_2._carta_aval_del_establecimiento_educativo_oficial.pdf,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_2._carta_aval_del_establecimiento_educativo_oficial_-_editable.docx
973,Apertura,"Anexo 3. Carta de compromiso, conocimiento y aceptación del candidato para desarrollar la propuesta de investigación, desarrollo",anexo,3,otro,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_3._carta_de_compromiso_conocimiento_y_aceptacion_del_candidato_para_desarrollar_la_propuesta_-_editable.docx
973,Apertura,"Anexo 3. Carta de compromiso, conocimiento y aceptación del candidato para desarrollar la propuesta",anexo,3,otro,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_3._carta_de_compromiso_conocimiento_y_aceptacion_del_candidato_para_desarrollar_la_propuesta.pdf,
973,Apertura,Anexo 4. Enfoque diferencial e interseccional y autorización de tratamiento de datos personales,anexo,4,poblacion_especifica,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_4._enfoque_diferencial_e_interseccional_y_autorizacion_de_tratamiento_de_datos_personales.pdf,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_4._enfoque_diferencial_e_interseccional_y_autorizacion_de_tratamiento_de_datos_personales_-_editable.docx
973,Apertura,Anexo 5. Reglamento de condonación,anexo,5,otro,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_5._reglamento_de_condonacion.pdf,
973,Apertura,Anexo 6. Documento científico - técnico,anexo,6,otro,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_6._documento_cientifico_-_tecnico.pdf,
973,Apertura,Anexo 7. Acuerdo de propiedad intelectual,anexo,7,otro,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_7._acuerdo_de_propiedad_intelectual.pdf,
973,Terminación Anormal de la Convocatoria,Resolución 0035-2026 - Terminación Anormal de la Convocatoria 973 de 2025,resolucion,,,https://minciencias.gov.co/sites/default/files/1._resolucion_0035-2026_-_terminacion_anormal_de_la_convocatoria_973_de_2025_0.pdf,
50,Apertura,TdR Convocatoria 50 del SGR - INVESTIGACIÓN BÁSICA,otro,,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/tdr_convocatoria_50_investigacion_basica_final.pdf,
50,Apertura,"Anexo 1. Carta unificada de aval, compromiso institucional y modelo de gobernanza",anexo,1,aval_institucional,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_1._carta_de_aval_institucional_y_modelo_de_gobernanza_final.docx
